,Organic detritus,Benthic algae/Spermatophytes,Symbiotic algae,Phytoplankton,Decomposerslmicrofauna,Zooplankton,Sponges,Hydrozoans,Sea fans,Sea anemones,Stony corals,Bryozoans,Sipunculid worms,Priapuloids,Chitons,Gastropods,Bivalves,Scaphopods,Squids,Octopuses,Polychaetes,Echiuroids,Pycnogonids,Barnacles,Stomatopods,Amphipods,Tanaids,Isopods,Shrimps,Spiny lobsters,Scyllarid lobsters,Hermit crabs,Crabs,Hemichordates,Asteroids,Ophiuroids,Echinoids,Holothurians,Tunicates,Sea turtles,Sea birds,Unidentified fish,Acanthurus bahianus,Acanthurus chirurgus,Acanthurus coeruleus,Antennarius multiocellatus,Antennarius striatus,Apogon conklini,Apogon maculatus,Allanetta harnngtonensis,Atherinomorus stipes,Aulostomus maculatus,Balistes vetula,Canthidermis sufflamen,Melichthys niger,Platybelone argalus argalus,Strongylura timucu,Tylosurus acus acus,Tylosurus crocodilus crocod.,Entomacrodus nigricans,Ophioblennius atlanticus,Parablennius marmoreus,Scartella cristata,Bothus lunatus,Bothus ocellatus,Caranx bartholomaei,Caranx latus,Caranx ruber,Decapterus punctatus,Oligoplltes saurus,Selar crumenophthalmus,Seriola dumerili,Trachinotus talcatus,Trachlnotus goodei,Carcharhinus acronotus,Carcharhlnus falciformis,Carcharhinus leucas,Carcharhinus limbatus,Carcharhlnus longlmanus,Carcharhinus perezi,Galeocerdo cuvier,Negaprion brevirostris,Rhizoprionodon porosus,Chaetodon aculeatus,Chaetodon capistratus,Chaetodon sedentarius,Chaetodon striatus,Amblycirrhltus pinos,Labrlsomus guppyi,Labrlsomus nuchipinnis,Harengula clupeola,Harengula humeralis,Jenkinsia lamprotaenia,Opisthonema oglinum,Heteroconger halis,Dactylopterus volitans,Dasyatis americana,Chilomycterus antennatus,Diodon holocanthus,Diodon hystrix,Inermia vittata,Anchoa hepsetus,Anchoa lyolepis,Chaetodlpterus faber,Fistularia tabacaria,Eucinostomus argenteus,Gerres cinereus,Ginglymostoma cirratum,Coryphopterus glaucofraenum,Gnatholepis thompsoni,Goblosoma evelynae,Gramma loreto,Gramma melacara,Rypticus saponaceus,Anisotremus surinamensis,Anisotremus virginicus,Haemulon album,Haemulon aurolineatum,Haemulon carbonarium,Haemulon chrysargyreum,Haemulon flavolineatum,Haemulon macrostomum,Haemulon parrai,Haemulon plumieri,Haemulon sciurus,Hemiramphus balao,Hemiramphus brasiliensis,Holocentrus ascensjonis,Holocentrus coruscus,Neoniphon marlanus,Holocentrus rufus,Sargocentron vexillarium,Myrlpristis jacobus,Kyphosus incisor,Kyphosus sectatrix,Bodianus rufus,Cleptlcus parrae,Halichoeres bivittatus,Halichoeres gamoti,Halichoeres maculipinna,Halichoeres poeyi,Halichoeres radiatus,Xyrichtys novacula,Xynchtys splendens,Lachnolaimus maximus,Thalassoma bifasciatum,Lutjanus analis,Lutjanus apodus,Lutjanus cyanopterus,Lutjanus griseus,Lutjanus jocu,Lutjanus mahagoni,Lutjanus synagris,Ocyurus chrysurus,Malacanthus plumieri,Tarpon atlanticus,Aluterus schoepfii,Aluterus scripta,Cantherines macroceros,Cantherines pullus,Monacanthus ciliatus,Mugil curema,Mulloidichthys madinicus,Pseudupeneus maculatus,Echidna catenata,Lycodontis moringa,Gymnothorax vicinus,Aetobatus narinan,Ogcocephalus nasutus,Myrichthys breviceps,Myrichthys ocellatus,Ophichthus ophis,Opisthognatus aurifrons,Opisthognatus maxillosus,Opisthognatus whitehurstii,Acanthostracion polygonius,Acanthostracion quadricomis,Lactophrys trigonus,Lactophrys bicaudalis,Lactophrys triqueter,Pempheris schomburgki,Centropyge argi,Holacanthus ciliaris,Holacanthus tricolor,Pomacanthus arcuatus,Pomacanthus paru,Abudefduf saxatilis,Abudefduf taurus,Chromis cyanea,Chromis multilineata,Microspathodon chrysurus,Stegastes fuscus,Stegastes leucostictus,Stegastes planifrons,Stegastes variabilis,Priacanthus arenatus,Heteropriacanthus cruentatus,Scarus coelestinus,Scarus iserti,Scarus guacamaia,Scarus taeniopterus,Scarus velula,Sparisoma aurofrenatum,Sparisoma chrysopterum,Sparisoma radians,Sparisoma rubripinne,Sparisoma viride,Equetus lanceolatus,Equetus punctatus,Odontoscion dentex,Pareques acuminatus,Euthynnus alletteratus,Scornberomorus cavalla,Scomberomorus regalis,Scorpaena brasiliensis,Scorpaena grandicomis,Scorpaena inermis,Scorpaena plumieri,Scorpaenodes caribbaeus,Alphestes afer,Cephalopholis cruentata,Cephalopholis fulva,Epinephelus adscensionis,Epinephelus guttatus,Epinephelus itajara,Epinephelus striatus,Hypoplectrus aberrans,Hypoplectrus chlorurus,Hypoplectrus nigricans,Hypoplectrus puella,Mycteroperca bonaci,Mycteropeca tigris,Mycteroperca venenosa,Paranthias furcifer,Serranus tigrinus,Archosargus rhomboidalis,Calamus bajonado,Calamus calamus,Calamus pennatula,Diplodus argentus caudimacula,Sphyraena barracuda,Sphyraena picudilla,Sphyma lewini,Sphyma tiburo,Synodus foetens,Synodus intermedius,Synodus synodus,Canthigaster rostrata,Sphoeroides spengleri,Mustelus canis
Organic detritus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benthic algae/Spermatophytes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Symbiotic algae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phytoplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Decomposerslmicrofauna,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zooplankton,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sponges,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydrozoans,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sea fans,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sea anemones,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
