,Predator,Prey
1,Nanno-zooplankton,Planktonic bacteria
2,Nanno-zooplankton,Phytoplankton
3,Epibenthic sponges,Planktonic bacteria
4,Epibenthic sponges,Phytoplankton
5,Endolithic sponges,Planktonic bacteria
6,Endolithic sponges,Phytoplankton
7,Ahermatypic benthic corals,Herbivorous micro-zooplankton
8,Ahermatypic benthic corals,Omnivorous micro-zooplankton
9,Ahermatypic benthic corals,Carnivorous micro-zooplankton
10,Ahermatypic benthic corals,Carnivorous micro-zooplankton
11,Ahermatypic benthic corals,Large omnivorous micro-zooplankton
12,Ahermatypic benthic corals,Large omnivorous micro-zooplankton
13,Ahermatypic benthic corals,Large carnivorous micro-zooplankton
14,Hermatypic coralsù,Herbivorous micro-zooplankton
15,Hermatypic coralsù,Omnivorous micro-zooplankton
16,Hermatypic coralsù,Carnivorous micro-zooplankton
17,Hermatypic coralsù,Carnivorous micro-zooplankton
18,Hermatypic coralsù,Large omnivorous micro-zooplankton
19,Hermatypic coralsù,Large omnivorous micro-zooplankton
20,Hermatypic coralsù,Large carnivorous micro-zooplankton
21,Corallivorous polychaetes,Hermatypic coralsù
22,Corallivorous polychaetes,Benthic carnivores I
23,Corallivorous polychaetes,Hermatypic benthic carnivores I
24,Herbivorous micro-zooplankton,Phytoplankton
25,Omnivorous micro-zooplankton,Phytoplankton
26,Omnivorous micro-zooplankton,Herbivorous micro-zooplankton
27,Carnivorous micro-zooplankton,Nanno-zooplankton
28,Carnivorous micro-zooplankton,Omnivorous micro-zooplankton
29,Carnivorous micro-zooplankton,Nanno-zooplankton
30,Macroplanktonic carnivores I,Omnivorous micro-zooplankton
31,Macroplanktonic carnivores I,Carnivorous micro-zooplankton
32,Macroplanktonic carnivores I,Herbivorous micro-zooplankton
33,Macroplanktonic carnivores I,Carnivorous micro-zooplankton
34,Large omnivorous micro-zooplankton,Phytoplankton
35,Large omnivorous micro-zooplankton,Herbivorous micro-zooplankton
36,Large omnivorous micro-zooplankton,Omnivorous micro-zooplankton
37,Large omnivorous micro-zooplankton,Carnivorous micro-zooplankton
38,Large omnivorous micro-zooplankton,Carnivorous micro-zooplankton
39,Large omnivorous micro-zooplankton,Phytoplankton
40,Large omnivorous micro-zooplankton,Nanno-zooplankton
41,Large carnivorous micro-zooplankton,Omnivorous micro-zooplankton
42,Large carnivorous micro-zooplankton,Carnivorous micro-zooplankton
43,Large carnivorous micro-zooplankton,Herbivorous micro-zooplankton
44,Large carnivorous micro-zooplankton,Carnivorous micro-zooplankton
45,Macroplanktonic carnivores II,Nanno-zooplankton
46,Macroplanktonic carnivores II,Omnivorous micro-zooplankton
47,Macroplanktonic carnivores II,Carnivorous micro-zooplankton
48,Macroplanktonic carnivores II,Herbivorous micro-zooplankton
49,Macroplanktonic carnivores II,Carnivorous micro-zooplankton
50,Macroplanktonic carnivores III,Omnivorous micro-zooplankton
51,Macroplanktonic carnivores III,Carnivorous micro-zooplankton
52,Macroplanktonic carnivores III,Herbivorous micro-zooplankton
53,Macroplanktonic carnivores III,Carnivorous micro-zooplankton
54,Macroplanktonic carnivores III,Macroplanktonic carnivores I
55,Macroplanktonic carnivores III,Large omnivorous micro-zooplankton
56,Macroplanktonic carnivores III,Large omnivorous micro-zooplankton
57,Macroplanktonic carnivores IV,Omnivorous micro-zooplankton
58,Macroplanktonic carnivores IV,Carnivorous micro-zooplankton
59,Macroplanktonic carnivores IV,Herbivorous micro-zooplankton
60,Macroplanktonic carnivores IV,Carnivorous micro-zooplankton
61,Macroplanktonic carnivores IV,Nanno-zooplankton
62,Macroplanktonic carnivores IV,Macroplanktonic carnivores IV
63,Hermatypic gorgonians,Phytoplankton
64,Hermatypic gorgonians,Nanno-zooplankton
65,Ahermatypic gorgonians,Phytoplankton
66,Ahermatypic gorgonians,Nanno-zooplankton
67,Benthic carnivores I,Omnivorous micro-zooplankton
68,Benthic carnivores I,Carnivorous micro-zooplankton
69,Benthic carnivores I,Herbivorous micro-zooplankton
70,Benthic carnivores I,Carnivorous micro-zooplankton
71,Hermatypic benthic carnivores I,Omnivorous micro-zooplankton
72,Hermatypic benthic carnivores I,Carnivorous micro-zooplankton
73,Hermatypic benthic carnivores I,Herbivorous micro-zooplankton
74,Hermatypic benthic carnivores I,Carnivorous micro-zooplankton
75,Diadema,Seagrasses
76,Diadema,Filamentous macroalgae
77,Diadema,Sheet macroalgae
78,Diadema,Coarsely branched macroalgae
79,Diadema,Jointed calcareous macroalgae
80,Diadema,Thick leathery macroalgae
81,Diadema,Crustose coralline algae
82,Diadema,Ahermatypic benthic corals
83,Diadema,Hermatypic coralsù
