Prey,Predator
Planktonic bacteria                      , Nanno-zooplankton                      
 Phytoplankton                        , Nanno-zooplankton                      
Planktonic bacteria                      , Epibenthic sponges                      
 Phytoplankton                        , Epibenthic sponges                      
Planktonic bacteria                      , Endolithic sponges                      
 Phytoplankton                        , Endolithic sponges                      
 Herbivorous micro-zooplankton                , Ahermatypic benthic coralsù               
 Omnivorous micro-zooplankton                 , Ahermatypic benthic coralsù               
 Carnivorous micro-zooplankton                , Ahermatypic benthic coralsù               
 Carnivorous micro-zooplankton                , Ahermatypic benthic coralsù               
 Large omnivorous micro-zooplankton              , Ahermatypic benthic coralsù               
 Large omnivorous micro-zooplankton              , Ahermatypic benthic coralsù               
 Large carnivorous micro-zooplankton             , Ahermatypic benthic coralsù               
 Herbivorous micro-zooplankton                , Hermatypic coralsù                   
 Omnivorous micro-zooplankton                 , Hermatypic coralsù                   
 Carnivorous micro-zooplankton                , Hermatypic coralsù                   
 Carnivorous micro-zooplankton                , Hermatypic coralsù                   
 Large omnivorous micro-zooplankton              , Hermatypic coralsù                   
 Large omnivorous micro-zooplankton              , Hermatypic coralsù                   
 Large carnivorous micro-zooplankton             , Hermatypic coralsù                   
 Hermatypic coralsù                   , Corallivorous polychaetes                  
 Benthic carnivores I                     , Corallivorous polychaetes                  
 Hermatypic benthic carnivores I               , Corallivorous polychaetes                  
 Phytoplankton                        , Herbivorous micro-zooplankton                
 Phytoplankton                        , Omnivorous micro-zooplankton                 
 Herbivorous micro-zooplankton                , Omnivorous micro-zooplankton                 
 Nanno-zooplankton                      , Carnivorous micro-zooplankton                
 Omnivorous micro-zooplankton                 , Carnivorous micro-zooplankton                
 Nanno-zooplankton                      , Carnivorous micro-zooplankton                
 Omnivorous micro-zooplankton                 , Macroplanktonic carnivores I                 
 Carnivorous micro-zooplankton                , Macroplanktonic carnivores I                 
 Herbivorous micro-zooplankton                , Macroplanktonic carnivores I                 
 Carnivorous micro-zooplankton                , Macroplanktonic carnivores I                 
 Phytoplankton                        , Large omnivorous micro-zooplankton              
 Herbivorous micro-zooplankton                , Large omnivorous micro-zooplankton              
 Omnivorous micro-zooplankton                 , Large omnivorous micro-zooplankton              
 Carnivorous micro-zooplankton                , Large omnivorous micro-zooplankton              
 Carnivorous micro-zooplankton                , Large omnivorous micro-zooplankton              
 Phytoplankton                        , Large omnivorous micro-zooplankton              
 Nanno-zooplankton                      , Large omnivorous micro-zooplankton              
 Omnivorous micro-zooplankton                 , Large carnivorous micro-zooplankton             
 Carnivorous micro-zooplankton                , Large carnivorous micro-zooplankton             
 Herbivorous micro-zooplankton                , Large carnivorous micro-zooplankton             
 Carnivorous micro-zooplankton                , Large carnivorous micro-zooplankton             
 Nanno-zooplankton                      , Macroplanktonic carnivores II                
 Omnivorous micro-zooplankton                 , Macroplanktonic carnivores II                
 Carnivorous micro-zooplankton                , Macroplanktonic carnivores II                
 Herbivorous micro-zooplankton                , Macroplanktonic carnivores II                
 Carnivorous micro-zooplankton                , Macroplanktonic carnivores II                
 Omnivorous micro-zooplankton                 , Macroplanktonic carnivores III                
 Carnivorous micro-zooplankton                , Macroplanktonic carnivores III                
 Herbivorous micro-zooplankton                , Macroplanktonic carnivores III                
 Carnivorous micro-zooplankton                , Macroplanktonic carnivores III                
 Macroplanktonic carnivores I                 , Macroplanktonic carnivores III                
 Large omnivorous micro-zooplankton              , Macroplanktonic carnivores III                
 Large omnivorous micro-zooplankton              , Macroplanktonic carnivores III                
 Omnivorous micro-zooplankton                 , Macroplanktonic carnivores IV                
 Carnivorous micro-zooplankton                , Macroplanktonic carnivores IV                
 Herbivorous micro-zooplankton                , Macroplanktonic carnivores IV                
 Carnivorous micro-zooplankton                , Macroplanktonic carnivores IV                
 Nanno-zooplankton                      , Macroplanktonic carnivores IV                
 Macroplanktonic carnivores IV                , Macroplanktonic carnivores IV                
 Phytoplankton                        , Hermatypic gorgonians                    
 Nanno-zooplankton                      , Hermatypic gorgonians                    
 Phytoplankton                        , Ahermatypic gorgonians                    
 Nanno-zooplankton                      , Ahermatypic gorgonians                    
 Omnivorous micro-zooplankton                 , Benthic carnivores I                     
 Carnivorous micro-zooplankton                , Benthic carnivores I                     
 Herbivorous micro-zooplankton                , Benthic carnivores I                     
 Carnivorous micro-zooplankton                , Benthic carnivores I                     
 Omnivorous micro-zooplankton                 , Hermatypic benthic carnivores I               
 Carnivorous micro-zooplankton                , Hermatypic benthic carnivores I               
 Herbivorous micro-zooplankton                , Hermatypic benthic carnivores I               
 Carnivorous micro-zooplankton                , Hermatypic benthic carnivores I               
 Seagrasses                          , Diadema                           
 Filamentous macroalgae                    , Diadema                           
 Sheet macroalgae                       , Diadema                           
 Coarsely branched macroalgae                 , Diadema                           
 Jointed calcareous macroalgae                , Diadema                           
 Thick leathery macroalgae                  , Diadema                           
 Crustose coralline algae                   , Diadema                           
 Ahermatypic benthic coralsù               , Diadema                           
 Hermatypic coralsù                   , Diadema                           
 Seagrasses                          , Tripneustes                         
 Filamentous macroalgae                    , Tripneustes                         
 Sheet macroalgae                       , Tripneustes                         
 Coarsely branched macroalgae                 , Tripneustes                         
 Jointed calcareous macroalgae                , Tripneustes                         
 Thick leathery macroalgae                  , Tripneustes                         
 Crustose coralline algae                   , Tripneustes                         
 Seagrasses                          , Eucidaris                          
 Epibenthic sponges                      , Eucidaris                          
 Endolithic sponges                      , Eucidaris                          
 Micro-detritivores                      , Echinometra                         
 Crustose coralline algae                   , Echinometra                         
 Jointed calcareous macroalgae                , Echinometra                         
 Sheet macroalgae                       , Echinometra                         
 Filamentous macroalgae                    , Echinometra                         
 Seagrasses                          , Lytechinus                          
 Micro-detritivores                      , Lytechinus                          
 Sheet macroalgae                       , Lytechinus                          
 Epiphytic autotrophs                     , Lytechinus                          
 Micro-detritivores                      , Deposit feeders I                      
 Phytoplankton                        , Macroplanktonic herbivores I                 
 Phytoplankton                        , Deep infaunal soft substrate suspension feeder    
 Phytoplankton                        , Shallow infaunal suspension feeders with chemosymbionts   
 Phytoplankton                        , Shallow infaunal soft substrate suspension feeder     
 Phytoplankton                        , Epifaunal attached hard substrate suspension feeder 
 Phytoplankton                        , Epifaunal attached soft substrate suspension feeder 
