Prey,Predator
Acscidia sp.,Anoplopoma fimbria
Ammodytes hexapterus,Anoplopoma fimbria
Anthozoa,Anoplopoma fimbria
Ascidiacea,Anoplopoma fimbria
Berryteuthis magister,Anoplopoma fimbria
Berryteuthis sp.,Anoplopoma fimbria
Bivalvia,Anoplopoma fimbria
Buccinidae,Anoplopoma fimbria
Calanoida,Anoplopoma fimbria
Caridea,Anoplopoma fimbria
Chionoecetes bairdi,Anoplopoma fimbria
Chionoecetes sp.,Anoplopoma fimbria
Cirripedia Apygophora,Anoplopoma fimbria
Clupea pallasi,Anoplopoma fimbria
Cottidae,Anoplopoma fimbria
Crangon communis,Anoplopoma fimbria
Crangonidae,Anoplopoma fimbria
Cyclopteridae,Anoplopoma fimbria
Diastylis sp.,Anoplopoma fimbria
Eualus avinus,Anoplopoma fimbria
Euphausiacea,Anoplopoma fimbria
Fishery discards,Anoplopoma fimbria
Gadidae,Anoplopoma fimbria
Gadus macrocephalus,Anoplopoma fimbria
Gammaridea,Anoplopoma fimbria
Gastropoda,Anoplopoma fimbria
Hemitripterus bolini,Anoplopoma fimbria
Holmesiella anomala,Anoplopoma fimbria
Macrouridae,Anoplopoma fimbria
Majidae,Anoplopoma fimbria
Mallotus villosus,Anoplopoma fimbria
Myctophidae,Anoplopoma fimbria
Mysidae,Anoplopoma fimbria
Neomysis czerniawskii,Anoplopoma fimbria
No Code,Anoplopoma fimbria
Non-gadoid Fish Remains,Anoplopoma fimbria
Octopoda,Anoplopoma fimbria
Osteichthyes Teleostei,Anoplopoma fimbria
Paguridae,Anoplopoma fimbria
Pandalidae,Anoplopoma fimbria
Pandalopsis dispar,Anoplopoma fimbria
Pandalus borealis,Anoplopoma fimbria
Pandalus goniurus,Anoplopoma fimbria
Pandalus sp.,Anoplopoma fimbria
Pasiphaea pacifica,Anoplopoma fimbria
Pleuronectidae,Anoplopoma fimbria
Polychaeta,Anoplopoma fimbria
Rajidae,Anoplopoma fimbria
Sagitta sp.,Anoplopoma fimbria
Scyphozoa,Anoplopoma fimbria
Sebastes variegatus,Anoplopoma fimbria
Sergestidae,Anoplopoma fimbria
Sipuncula,Anoplopoma fimbria
Stenobrachius leucopsarus,Anoplopoma fimbria
Stichaeidae,Anoplopoma fimbria
Teuthoidea,Anoplopoma fimbria
Teuthoidea oegopsida,Anoplopoma fimbria
Thaleichthys pacificus,Anoplopoma fimbria
Themisto abyssorum,Anoplopoma fimbria
Themisto sp.,Anoplopoma fimbria
Theragra chalcogramma,Anoplopoma fimbria
Thysanoessa inermis,Anoplopoma fimbria
Thysanoessa raschii,Anoplopoma fimbria
Zoarcidae,Anoplopoma fimbria
Ammodytes hexapterus,Aptocyclus ventricosus
Beroe sp.,Aptocyclus ventricosus
Ctenophora,Aptocyclus ventricosus
No Code,Aptocyclus ventricosus
Unidentified organic material,Aptocyclus ventricosus
Theragra chalcogramma,Atheresthes sp.
Agonidae,Atheresthes stomias
Ammodytes hexapterus,Atheresthes stomias
Amphipoda Hyperiidea,Atheresthes stomias
Anoplopoma fimbria,Atheresthes stomias
Argis sp.,Atheresthes stomias
Aspidophoroides bartoni,Atheresthes stomias
Atheresthes stomias,Atheresthes stomias
Bathylagidae,Atheresthes stomias
Bathymaster signatus,Atheresthes stomias
Bathymasteridae,Atheresthes stomias
Bivalvia,Atheresthes stomias
Calanoida,Atheresthes stomias
Calanus sp.,Atheresthes stomias
Caridea,Atheresthes stomias
Cephalopoda,Atheresthes stomias
Chaetognatha,Atheresthes stomias
Chauliodus macouni,Atheresthes stomias
Clupea pallasi,Atheresthes stomias
Coregonus,Atheresthes stomias
Cottoidei,Atheresthes stomias
Crangon communis,Atheresthes stomias
Crangon dalli,Atheresthes stomias
Crangon sp.,Atheresthes stomias
Crangonidae,Atheresthes stomias
Crustacea,Atheresthes stomias
Echiura,Atheresthes stomias
Eualus sp.,Atheresthes stomias
Eucarida,Atheresthes stomias
Euphausiacea,Atheresthes stomias
Euphausiidae,Atheresthes stomias
Fishery discards,Atheresthes stomias
Flabellifera,Atheresthes stomias
Gadidae,Atheresthes stomias
Gadus macrocephalus,Atheresthes stomias
Gammaridea,Atheresthes stomias
Gonatus sp.,Atheresthes stomias
