Prey,Predator
Prymnesiophyceae,Gymnodinium
Thalassiosirales,Gymnodinium
Cyanophycota,Gymnodinium
Gymnodinium,Peridinium
Peridinium,Peridinium
Scrippsiella,Peridinium
Ditylum brightwellii,Peridinium
Prorocentrum,Peridinium
Gymnodinium,Protoperidinium
Protoperidinium,Protoperidinium
Ceratium,Protoperidinium
Scrippsiella,Protoperidinium
Ditylum brightwellii,Protoperidinium
Bacillariaceae,Protoperidinium
Thalassiosirales,Protoperidinium
Acartia,Protoperidinium
Prorocentrum,Protoperidinium
Scrippsiella,Gonyaulax
Prymnesiophyceae,Gonyaulax
Thalassiosirales,Gonyaulax
Cyanophycota,Gonyaulax
Prorocentrum,Gonyaulax
Thalassiosirales,Scrippsiella
Cyanophycota,Scrippsiella
Bacteria,Chrysophyta
Detritus complex,Chrysophyta
Detritus complex,Echiura
Gonyaulax,Phoronida
Ceratium,Phoronida
Coscinodiscus,Phoronida
Chaetoceros,Phoronida
Detritus complex,Phoronida
Chrysophyta,Gymnolaemata
Bacteria,Gymnolaemata
Prymnesiophyceae,Gymnolaemata
Thalassiosirales,Gymnolaemata
Prasinophyceae,Gymnolaemata
Detritus complex,Ctenodiscus crispatus
Gymnolaemata,Crossaster papposus
Crossaster papposus,Crossaster papposus
Asterias,Crossaster papposus
Ophiuroidea,Crossaster papposus
Strongylocentrotus droebachiensis,Crossaster papposus
Echinarachnius parma,Crossaster papposus
Psolus,Crossaster papposus
Cucumaria,Crossaster papposus
Aspidochirotacea,Crossaster papposus
Aplidium,Crossaster papposus
Myoxocephalus,Crossaster papposus
Hydrozoa,Crossaster papposus
Octocorallia,Crossaster papposus
Clupea pallasii,Crossaster papposus
Crepidula,Crossaster papposus
Naticidae,Crossaster papposus
Buccinidae,Crossaster papposus
Cephalaspidea,Crossaster papposus
Mytilus,Crossaster papposus
Pectinidae,Crossaster papposus
Clinocardium,Crossaster papposus
Mya,Crossaster papposus
Balanus crenatus,Crossaster papposus
Caprellidae,Crossaster papposus
Paralithodes,Crossaster papposus
Leptasterias,Crossaster papposus
Metridium senile,Crossaster papposus
Archidoris odhneri,Crossaster papposus
Triopha catalinae,Crossaster papposus
Hermissenda crassicornis,Crossaster papposus
Crossaster papposus,Solaster dawsoni
Solaster dawsoni,Solaster dawsoni
Henricia,Solaster dawsoni
Evasterias troschelii,Solaster dawsoni
Pycnopodia helianthoides,Solaster dawsoni
Strongylocentrotus droebachiensis,Solaster dawsoni
Psolus,Solaster dawsoni
Cucumaria,Solaster dawsoni
Aspidochirotacea,Solaster dawsoni
Octocorallia,Solaster dawsoni
Balanus crenatus,Solaster dawsoni
Solaster stimpsoni,Solaster dawsoni
Dermasterias imbricata,Solaster dawsoni
Leptasterias,Solaster dawsoni
Eupentacta,Solaster dawsoni
Gymnolaemata,Solaster endeca
Strongylocentrotus droebachiensis,Solaster endeca
Echinarachnius parma,Solaster endeca
Psolus,Solaster endeca
Cucumaria,Solaster endeca
Aspidochirotacea,Solaster endeca
Leptasterias,Solaster endeca
Eupentacta,Solaster endeca
Aplidium,Pteraster tesselatus
Hydrozoa,Pteraster tesselatus
Pectinidae,Pteraster tesselatus
Pododesmus,Pteraster tesselatus
Halichondria panicea,Pteraster tesselatus
Gymnolaemata,Henricia
Bacteria,Henricia
Detritus complex,Henricia
Halichondria panicea,Henricia
Asterias,Asterias
Ophiuroidea,Asterias
Strongylocentrotus droebachiensis,Asterias
Echinarachnius parma,Asterias
Cucumaria,Asterias
